"SCHOOLID","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
84000001,1,0.8307,4,84000304,1,1,12,-2.2036,1,384.319,1
84000001,1,0.8307,4,84000353,0,1,16,-0.5709,1,442.575,1
84000001,1,0.8307,4,84000536,0,1,12,-0.5057,1,442.603,1
84000001,1,0.8307,4,84001240,0,1,16,0.5023,1,489.73,1
84000001,1,0.8307,4,84001624,0,1,12,-0.5015,1,443.274,1
84000001,1,0.8307,4,84001714,1,1,12,0.029,1,407.973,1
84000001,1,0.8307,4,84001950,1,1,16,0.8352,1,485.886,1
84000001,1,0.8307,4,84002531,1,1,14,-0.4736,1,488.145,1
84000001,1,0.8307,4,84002584,0,1,16,-0.5785,1,339.221,1
84000001,1,0.8307,4,84002831,1,1,12,-0.311,1,429.272,1
84000001,1,0.8307,4,84002916,1,1,16,0.4546,1,456.49,1
84000001,1,0.8307,4,84002931,0,1,12,-1.3088,1,343.255,1
84000001,1,0.8307,4,84003259,0,1,14,-0.4269,1,564.607,1
84000001,1,0.8307,4,84003351,0,1,16,-0.8302,1,604.471,1
84000001,1,0.8307,4,84003452,0,1,16,-0.2539,1,471.03,1
84000001,1,0.8307,4,84003883,0,1,16,-0.497,1,533.127,1
84000001,1,0.8307,4,84003965,1,1,16,0.3779,1,595.642,1
84000001,1,0.8307,4,84003985,1,1,16,0.503,1,702.416,1
84000001,1,0.8307,4,84004633,0,1,16,-0.6939,1,542.92,1
84000001,1,0.8307,4,84005420,1,1,12,0.5669,1,459.532,1
84000001,1,0.8307,4,84006420,1,1,12,-1.4933,1,284.676,1
84000001,1,0.8307,4,84006716,1,1,12,-1.0607,1,361.376,1
84000001,1,0.8307,4,84007236,0,1,16,0.8093,1,660.261,1
84000001,1,0.8307,4,84007677,1,1,12,0.0893,1,523.436,1
84000001,1,0.8307,4,84007979,0,1,16,0.9572,1,393.741,1
84000001,1,0.8307,4,84008420,0,1,14,-1.8476,1,561.652,1
84000001,1,0.8307,4,84008604,0,1,12,-0.1715,1,549.82,1
84000002,1,1.0953,14.4388,84000016,1,1,16,0.0233,1,447.076,1
84000002,1,1.0953,14.4388,84000166,0,1,16,-1.1288,1,440.54,1
84000002,1,1.0953,14.4388,84000542,0,1,16,-1.9191,1,363.223,1
84000002,1,1.0953,14.4388,84000611,1,1,16,-1.2074,1,375.564,1
84000002,1,1.0953,14.4388,84000777,1,1,16,-0.1541,1,394.254,1
84000002,1,1.0953,14.4388,84000809,1,1,14,0.2824,1,393.366,1
84000002,1,1.0953,14.4388,84000902,1,1,16,-0.1995,1,335.058,1
84000002,1,1.0953,14.4388,84000932,1,1,16,-0.2314,1,513.758,1
84000002,1,1.0953,14.4388,84001032,0,1,14,-1.4828,1,405.909,1
84000002,1,1.0953,14.4388,84001081,0,1,12,0.1183,1,384.144,1
