"SCHOOLID","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
1,1,0.1524,19.304,2,0,1,16,0.41,1,416.0383,3
1,1,0.1524,19.304,3,0,1,6,-1.63,1,410.0405,3
1,1,0.1524,19.304,4,1,1,12,-0.33,1,482.4817,3
1,1,0.1524,19.304,5,0,1,12,-0.81,1,289.8504,3
1,1,0.1524,19.304,6,0,1,16,-0.33,1,383.4008,3
1,1,0.1524,19.304,7,0,1,12,-0.82,1,401.3164,3
1,1,0.1524,19.304,8,1,1,14,0.4256,1,371.8726,3
1,1,0.1524,19.304,9,1,1,16,0.6,1,398.2785,3
1,1,0.1524,19.304,10,0,1,12,0.62,1,322.7995,3
1,1,0.1524,19.304,11,0,1,16,0.27,1,441.899,3
1,1,0.1524,19.304,12,0,1,12,-0.74,1,430.8381,3
1,1,0.1524,19.304,13,1,1,12,-0.16,1,427.0213,3
1,1,0.1524,19.304,14,0,1,16,0.02,1,401.4722,3
1,1,0.1524,19.304,15,1,1,16,-0.98,1,462.0735,3
1,1,0.1524,19.304,16,0,1,12,0.62,1,382.6998,3
1,1,0.1524,19.304,17,1,1,12,0.02,1,373.2747,3
1,1,0.1524,19.304,18,0,1,6,-0.8275,1,365.9526,3
1,1,0.1524,19.304,19,0,1,16,-0.33,1,448.1305,3
1,1,0.1524,19.304,20,1,1,12,-1.14,1,384.2577,3
1,1,0.1524,19.304,21,0,1,12,0.2,1,435.1223,3
1,1,0.1524,19.304,22,0,1,12,-0.33,1,422.0361,3
1,1,0.1524,19.304,23,1,1,16,-0.1541,1,395.7859,3
1,1,0.1524,19.304,24,1,1,12,0.02,1,329.9657,3
1,1,0.1524,19.304,25,0,1,9,-3.11,1,479.2102,3
1,1,0.1524,19.304,26,1,1,12,-1.46,1,529.8411,3
1,1,0.1524,19.304,27,1,1,16,-0.82,1,348.0371,3
1,1,0.1524,19.304,28,0,1,12,0.02,1,370.2368,3
3,1,0.7093,15.16,59,0,1,16,-0.66,1,336.7425,3
3,1,0.7093,15.16,60,1,1,14,-0.16,1,496.0352,3
3,1,0.7093,15.16,61,1,1,16,-0.5,1,448.1305,3
3,1,0.7093,15.16,62,1,1,16,1.48,0,730.9628,3
3,1,0.7093,15.16,63,0,0,12,0.87,0,437.0696,3
3,1,0.7093,15.16,64,0,1,16,0.02,1,397.4996,3
3,1,0.7093,15.16,65,1,1,9,-2.6,1,422.114,3
3,1,0.7093,15.16,66,0,1,12,1.15,1,490.6605,3
3,1,0.7093,15.16,67,0,1,16,-0.23,1,385.8155,3
3,1,0.7093,15.16,68,1,1,16,0.2,1,625.1831,3
3,1,0.7093,15.16,69,0,1,14,-1.8,1,481.6249,3
3,1,0.7093,15.16,70,1,1,16,1.15,1,595.5834,3
3,1,0.7093,15.16,71,0,1,12,-0.98,1,486.3764,3
3,1,0.7093,15.16,72,0,1,9,-0.82,1,476.0944,3
3,1,0.7093,15.16,73,0,1,12,-0.66,1,403.7311,3
3,1,0.7093,15.16,74,0,1,12,-1.63,1,451.9473,3
3,1,0.7093,15.16,75,1,1,16,3.77,1,482.4817,3
3,1,0.7093,15.16,76,1,1,12,1.48,1,494.9447,3
3,1,0.7093,15.16,77,1,1,16,-0.16,1,443.8464,3
3,1,0.7093,15.16,78,1,1,12,-1.14,1,431.9286,3
3,1,0.7093,15.16,79,0,1,16,0.02,1,535.2158,3
3,1,0.7093,15.16,80,0,1,16,1.48,1,563.3354,3
3,1,0.7093,15.16,81,1,1,12,-0.82,1,447.4295,3
3,1,0.7093,15.16,82,1,1,12,-0.82,1,357.618,3
3,1,0.7093,15.16,83,1,1,12,0.63,1,467.604,3
3,1,0.7093,15.16,84,0,1,14,-0.98,1,479.6775,3
3,1,0.7093,15.16,85,0,1,14,0.87,1,537.6305,3
3,1,0.7093,15.16,86,1,1,12,0.02,1,566.7627,3
3,1,0.7093,15.16,87,1,1,16,0.2,1,543.083,3
3,1,0.7093,15.16,88,0,1,14,-0.98,1,458.1788,3
3,1,0.7093,15.16,89,0,1,16,1.15,0,587.4825,3
3,1,0.7093,15.16,90,1,1,16,-0.16,1,556.4029,3
3,1,0.7093,15.16,91,1,1,16,0.87,1,453.9726,3
3,1,0.7093,15.16,92,1,1,12,-0.66,1,475.3934,3
3,1,0.7093,15.16,93,0,1,16,-0.98,1,577.3563,3
4,1,-1.0911,19.583,94,1,1,14,1.91,1,478.5091,3
