"SCHOOLID","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
84000003,1,-0.7903,3.3448,84000037,1,1,12,0.8375,1,392.344,2
84000003,1,-0.7903,3.3448,84005128,1,1,9,-0.6025,1,413.596,2
84000003,1,-0.7903,3.3448,84001423,0,1,16,0.655,1,344.809,2
84000003,1,-0.7903,3.3448,84000862,0,1,16,-1.1648,1,515.481,2
84000003,1,-0.7903,3.3448,84009982,0,0,12,0.6837,1,455.695,2
84000003,1,-0.7903,3.3448,84005541,1,1,16,0.6247,1,436.571,2
84000003,1,-0.7903,3.3448,84011206,1,1,16,0.719,1,497.741,2
84000003,1,-0.7903,3.3448,84006036,1,1,12,1.0899,1,482.53,2
84000003,1,-0.7903,3.3448,84003007,1,1,12,-0.083,1,525.732,2
84000003,1,-0.7903,3.3448,84002069,1,1,16,0.7985,1,391.089,2
84000003,1,-0.7903,3.3448,84002801,1,1,14,0.2952,1,568.339,2
84000003,1,-0.7903,3.3448,84003524,1,0,16,0.4264,0,574.702,2
84000003,1,-0.7903,3.3448,84011299,1,1,16,-1.5424,0,341.376,2
84000003,1,-0.7903,3.3448,84003357,1,1,16,-0.107,1,517.494,2
84000003,1,-0.7903,3.3448,84008272,1,1,16,-0.3704,0,588.717,2
84000003,1,-0.7903,3.3448,84002787,0,1,12,0.8717,1,483.539,2
84000003,1,-0.7903,3.3448,84006262,0,1,16,-1.081,1,423.536,2
84000003,1,-0.7903,3.3448,84000983,0,0,12,0.623,0,471.04,2
84000003,1,-0.7903,3.3448,84005134,0,1,16,-0.1464,1,558.523,2
84000003,1,-0.7903,3.3448,84000193,0,1,9,0.3161,1,424.588,2
84000003,1,-0.7903,3.3448,84002949,0,1,16,-0.281,1,479.432,2
84000003,1,-0.7903,3.3448,84004037,0,1,12,1.8609,0,372.331,2
84000003,1,-0.7903,3.3448,84010299,0,1,16,-0.3896,0,514.983,2
84000003,1,-0.7903,3.3448,84008646,0,0,12,0.936,0,436,2
84000003,1,-0.7903,3.3448,84006703,0,1,12,0.398,1,651.564,2
84000003,1,-0.7903,3.3448,84002126,1,0,16,0.8975,0,528.074,2
84000003,1,-0.7903,3.3448,84004739,1,1,16,0.9264,1,433.142,2
84000003,1,-0.7903,3.3448,84010770,0,1,16,0.1622,1,401.895,2
84000003,1,-0.7903,3.3448,84007562,0,0,6,-1.1987,0,379.501,2
84000003,1,-0.7903,3.3448,84004978,0,1,14,0.1495,1,575.9,2
84000004,1,-0.1049,12.2857,84003759,1,1,16,0.4937,1,492.152,2
84000004,1,-0.1049,12.2857,84007457,1,1,16,-0.5279,1,418.483,2
84000004,1,-0.1049,12.2857,84003816,1,1,16,2.4893,1,455.596,2
84000004,1,-0.1049,12.2857,84003118,1,1,14,0.0283,1,330.199,2
84000004,1,-0.1049,12.2857,84001495,1,1,16,0.4859,1,444.166,2
84000004,1,-0.1049,12.2857,84004856,1,1,12,-0.4682,0,385.232,2
84000004,1,-0.1049,12.2857,84010507,1,1,16,1.2547,1,401.456,2
84000004,1,-0.1049,12.2857,84009406,1,1,16,0.5749,1,459.853,2
84000004,1,-0.1049,12.2857,84000138,1,1,16,0.2303,1,460.984,2
84000004,1,-0.1049,12.2857,84001304,1,1,12,0.9409,1,302.917,2
84000004,1,-0.1049,12.2857,84006621,1,1,12,-0.5876,1,372,2
84000004,1,-0.1049,12.2857,84005293,1,1,16,0.2502,1,290.802,2
84000004,1,-0.1049,12.2857,84000659,1,1,14,-0.4607,1,512.399,2
84000004,1,-0.1049,12.2857,84007438,1,1,16,0.4886,1,353.819,2
84000004,1,-0.1049,12.2857,84001916,1,1,16,0.7147,1,416.946,2
84000004,1,-0.1049,12.2857,84003989,1,1,12,0.4067,1,374.463,2
84000004,1,-0.1049,12.2857,84006707,1,1,16,-0.2686,1,480.534,2
84000004,1,-0.1049,12.2857,84008473,1,1,16,0.0297,1,531.636,2
84000004,1,-0.1049,12.2857,84010445,1,1,12,-0.2596,1,322.108,2
84000004,1,-0.1049,12.2857,84005221,1,1,16,-0.3181,1,429.118,2
84000004,1,-0.1049,12.2857,84010026,1,1,12,0.4654,1,369.182,2
84000004,1,-0.1049,12.2857,84005291,1,1,16,0.7771,1,480.849,2
84000004,1,-0.1049,12.2857,84007453,0,1,16,0.3521,1,412.695,2
84000004,1,-0.1049,12.2857,84003043,0,1,12,-0.0429,1,326.315,2
84000004,1,-0.1049,12.2857,84001345,0,1,12,-4.5466,1,457.956,2
84000004,1,-0.1049,12.2857,84000603,0,1,14,1.6895,1,336.546,2
84000004,1,-0.1049,12.2857,84010576,0,1,16,1.327,1,427.995,2
84000004,1,-0.1049,12.2857,84001577,0,1,12,-0.7636,1,293.181,2
84000004,1,-0.1049,12.2857,84008697,0,1,12,-1.0124,1,499.428,2
84000004,1,-0.1049,12.2857,84003739,0,1,16,0.6564,1,378.295,2
84000004,1,-0.1049,12.2857,84004957,0,1,12,0.5121,1,434.819,2
84000004,1,-0.1049,12.2857,84001696,0,1,14,-1.7262,1,431.851,2
84000004,1,-0.1049,12.2857,84009340,0,1,16,-2.0352,1,419.276,2
84000004,1,-0.1049,12.2857,84004378,0,1,12,0.3286,1,396.205,2
84000004,1,-0.1049,12.2857,84000009,0,1,16,-1.4,1,439.325,2
84000004,1,-0.1049,12.2857,84003489,0,1,16,0.862,1,392.55,2
84000004,1,-0.1049,12.2857,84000034,0,0,14,-0.3292,1,332.788,2
