"SCHOOLID","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
12,1,-1.0222,13.687,357,0,1,14,-0.2419,1,452.73,4
59,1,0.4283,16.2809,1799,1,0,9,0.0976,0,432.16,4
7,1,-1.0222,40.36,206,1,0,9,0.7021,0,442.6,4
114,1,-1.0222,23.116,3635,1,1,12,0.0976,1,519.56,4
9,1,-1.0222,11.586,277,0,1,14,0.2843,1,503.44,4
6,1,-1.0222,14.681,159,1,1,16,0.7021,1,568.4,4
88,1,-1.0222,14.775,2763,0,1,16,2.5602,1,619.89,4
16,1,-1.0222,18.207,488,1,1,14,-0.0765,1,462.85,4
148,1,-0.2606,22.639,4661,1,0,6,-0.2419,0,422.82,4
102,1,0.8777,17.532,3236,0,1,16,-0.2419,1,538.88,4
161,1,-1.0222,18.02,5109,0,1,12,-0.2419,1,525.56,4
134,1,-0.2606,18.634,4198,0,0,12,0.0976,0,497.75,4
164,1,-1.0222,27.018,5181,0,1,12,0.6983,0,518.62,4
136,1,-0.2606,15.295,4250,1,1,12,-0.0765,0,537.32,4
58,1,-1.0222,28.455,1765,1,0,9,-1.5409,0,478.51,4
50,1,-1.0222,27.8,1535,1,1,16,1.9644,1,531.09,4
94,1,-1.0222,11.567,2964,1,0,14,1.9644,0,413.47,4
13,1,-1.0222,24.3805,379,1,1,14,-0.5495,1,457.87,4
67,1,-1.0222,13.337,2053,0,1,16,-0.0765,1,556.79,4
107,1,-1.0222,24.435,3408,0,0,6,-1.1173,0,541.21,4
23,1,-1.0222,9.8,731,1,1,16,1.5475,1,510.06,4
2,1,-1.0222,12.315,64,0,1,14,-0.2419,1,508.58,4
161,1,-1.0222,18.02,5094,1,1,12,-0.8378,1,534.9,4
66,0,-1.0222,12.242,2027,0,1,16,2.5602,1,478.28,4
129,1,-1.0222,12.961,4069,1,1,14,-0.3986,1,369.77,4
129,1,-1.0222,12.961,4067,1,1,16,-0.0765,1,489.8,4
101,1,-1.0222,16.446,3181,1,1,16,2.5602,0,631.96,4
48,1,-1.0222,15.894,1492,0,1,16,1.2196,1,495.33,4
137,1,-1.0222,13.758,4300,0,1,16,0.0976,1,465.97,4
47,1,-1.0222,16.503,1442,1,1,12,1.2196,1,600.41,4
68,1,-1.0222,14.416,2079,0,0,12,-0.5495,0,408.95,4
125,1,0.1455,17.979,3944,1,1,12,0.2843,1,409.96,4
24,0,-1.0222,8.062,774,0,1,16,0.9439,1,559.21,4
149,1,3.3396,14.91,4703,0,1,14,1.5475,1,543.86,4
117,1,-1.0222,12.578,3720,0,1,16,-0.978,1,507.72,4
19,1,-0.2606,12.269,614,0,1,9,-0.978,1,435.28,4
31,1,0.8777,12.963,983,1,1,12,-0.978,1,471.5,4
71,1,0.1455,22.684,2182,0,1,16,-0.0765,1,371.48,4
64,1,0.1455,23.208,1945,0,1,12,-0.2419,1,488.25,4
111,1,-1.0222,18.235,3521,1,1,12,-0.3986,1,513.33,4
132,1,-1.0222,10.875,4165,1,1,12,-2.159,1,455.06,4
159,1,-1.0222,15.781,5035,0,1,16,-0.0765,1,476.95,4
81,1,0.662,14.559,2533,1,0,12,-0.978,0,534.2,4
20,1,-1.0222,17.081,622,0,1,12,-0.8378,1,567,4
152,1,-1.0222,6.821,4798,1,0,12,0.2843,0,571.59,4
69,1,1.3328,12.494,2113,0,1,14,-0.5495,1,441.43,4
17,1,-1.0222,3.539,531,1,1,12,1.5475,1,474.22,4
15,1,1.3328,20.037,444,1,1,14,-0.0765,0,516.99,4
21,0,1.096,10.788,678,0,1,12,0.0976,1,463.32,4
75,1,1.096,9.506,2330,1,1,14,0.7021,1,513.17,4
70,1,-1.0222,18.194,2159,1,1,16,0.4835,1,609.76,4
132,1,-1.0222,10.875,4166,0,1,16,-0.0765,1,719.2,4
76,1,-1.0222,15.337,2354,1,1,16,1.9644,1,418.45,4
21,0,1.096,10.788,666,0,1,16,2.5602,1,513.95,4
152,1,-1.0222,6.821,4790,1,1,12,-0.2419,1,413.47,4
64,1,0.1455,23.208,1949,1,0,9,-0.5495,0,551.34,4
142,1,-1.0222,15.75,4459,0,1,12,-0.6956,0,491.67,4
117,1,-1.0222,12.578,3717,1,1,16,0.9439,1,531.09,4
72,0,0.662,20,2184,0,1,16,0.7021,0,632.35,4
40,1,-1.0222,11.933,1249,0,1,14,1.2196,1,649.56,4
28,1,-1.0222,15.5,912,0,1,14,1.5475,1,619.11,4
78,0,-1.0222,19.9,2412,0,1,16,-0.3986,0,468.15,4
150,1,-1.0222,10,4742,0,1,12,-0.3986,1,477.34,4
67,1,-1.0222,13.337,2059,1,1,12,0.2843,1,418.14,4
57,1,0.662,14.463,1716,0,1,16,-0.0765,1,275.99,4
27,1,-0.2606,21.863,870,1,1,16,0.7021,1,492.84,4
146,1,0.1455,14.1576,4599,0,1,12,1.2196,1,479.05,4
41,1,0.1455,13.156,1276,1,1,16,-0.0765,1,445.4,4
122,1,1.3328,10.438,3866,1,1,16,1.3028,1,296.63,4
165,1,-1.0222,13.338,5216,0,1,12,-1.2566,1,496.35,4
30,1,-1.0222,16.44,972,1,1,16,-0.6956,1,447.04,4
112,1,0.8777,11.5,3552,1,1,14,0.4835,1,483.88,4
79,1,0.1455,13.811,2457,0,1,12,0.4835,1,573.93,4
163,1,-0.6195,12.33,5155,0,1,12,-0.6956,1,449.3,4
6,1,-1.0222,14.681,163,1,1,12,0.4835,1,481.16,4
134,1,-0.2606,18.634,4210,0,1,12,-0.978,1,411.83,4
76,1,-1.0222,15.337,2342,0,1,16,0.4835,1,405.68,4
115,1,-1.0222,11.1544,3663,0,1,16,-0.2419,1,587.87,4
136,1,-0.2606,15.295,4246,0,0,12,-0.2419,0,386.59,4
95,1,-1.0222,14.536,2981,0,1,12,-0.5495,1,386.98,4
150,1,-1.0222,10,4724,0,1,16,0.4835,1,445.4,4
30,1,-1.0222,16.44,949,0,1,16,0.2843,1,579.38,4
80,1,-1.0222,26.842,2506,0,1,16,-0.0765,1,533.42,4
150,1,-1.0222,10,4744,0,1,9,-0.6956,1,483.49,4
20,1,-1.0222,17.081,638,1,1,12,0.2843,1,564.58,4
67,1,-1.0222,13.337,2070,1,1,12,0.0976,1,372.34,4
72,0,0.662,20,2206,1,1,12,1.2196,0,506.55,4
160,1,-1.0222,14.91,5070,1,1,14,0.9439,1,364.32,4
107,1,-1.0222,24.435,3415,0,1,16,-0.0765,1,485.29,4
70,1,-1.0222,18.194,2131,0,1,14,0.4835,1,534.9,4
23,1,-1.0222,9.8,735,1,1,12,0.9439,1,429.44,4
82,1,0.662,9.447,2584,0,1,14,0.2843,1,546.59,4
89,1,0.8777,22.55,2811,1,1,12,0.4835,1,548.93,4
14,1,0.8777,20.389,419,1,1,12,-0.2419,1,512.39,4
162,1,1.096,16.579,5123,1,1,12,0.2843,1,465.81,4
148,1,-0.2606,22.639,4673,1,1,12,-0.3986,1,606.96,4
111,1,-1.0222,18.235,3530,1,1,14,-0.3986,1,511.61,4
96,1,-1.0222,21.429,3008,1,0,16,-0.2419,0,564.58,4
129,1,-1.0222,12.961,4094,0,1,12,-0.0765,1,490.19,4
8,1,-1.0222,11.186,239,0,1,14,-0.8378,1,343.29,4
